date,annualized_returns,buy_margin,cash,daily_holding_pnl,daily_pnl,daily_realized_pnl,daily_returns,frozen_cash,margin,market_value,pnl,portfolio_value,sell_margin,total_returns,transaction_cost,unit_net_value,units,yesterday_unit_net_value,yesterday_units
2016-01-04,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-05,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-06,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-07,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-08,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-11,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-12,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-13,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-14,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-15,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-18,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-19,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-20,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-21,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-22,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-25,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-26,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-27,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-28,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-01-29,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-02-01,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-02-02,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,1000000,1.0,1000000
2016-02-03,-0.427,345996.0,653984.105,-46230.0,-46249.895,0.0,-0.046,0.0,345996.0,818760.0,-46249.895,953750.105,0.0,-0.046,19.895,0.954,1000000,1.0,1000000
2016-02-04,-0.308,327504.0,626246.105,14520.0,14520.0,0.0,0.015,0.0,327504.0,833280.0,-31729.895,968270.105,0.0,-0.032,19.895,0.968,1000000,0.954,1000000
2016-02-05,-0.345,333312.0,634958.105,-5760.0,-5760.0,0.0,-0.006,0.0,333312.0,827520.0,-37489.895,962510.105,0.0,-0.037,19.895,0.963,1000000,0.968,1000000
2016-02-15,-0.315,331008.0,631502.105,-6060.0,-6060.0,0.0,-0.006,0.0,331008.0,821460.0,-43549.895,956450.105,0.0,-0.044,19.895,0.956,1000000,0.963,1000000
2016-02-16,-0.158,328584.0,627866.105,23040.0,23040.0,0.0,0.024,0.0,328584.0,844500.0,-20509.895,979490.105,0.0,-0.021,19.895,0.979,1000000,0.956,1000000
2016-02-17,-0.125,337800.0,641690.105,4200.0,4200.0,0.0,0.004,0.0,337800.0,848700.0,-16309.895,983690.105,0.0,-0.016,19.895,0.984,1000000,0.979,1000000
2016-02-18,-0.113,339480.0,644210.105,1380.0,1380.0,0.0,0.001,0.0,339480.0,850080.0,-14929.895,985070.105,0.0,-0.015,19.895,0.985,1000000,0.984,1000000
2016-02-19,-0.123,340032.0,645038.105,-1860.0,-1860.0,0.0,-0.002,0.0,340032.0,848220.0,-16789.895,983210.105,0.0,-0.017,19.895,0.983,1000000,0.985,1000000
2016-02-22,-0.02,339288.0,643922.105,14040.0,14040.0,0.0,0.014,0.0,339288.0,862260.0,-2749.895,997250.105,0.0,-0.003,19.895,0.997,1000000,0.983,1000000
2016-02-23,-0.106,344904.0,652346.105,-12780.0,-12780.0,0.0,-0.013,0.0,344904.0,849480.0,-15529.895,984470.105,0.0,-0.016,19.895,0.984,1000000,0.997,1000000
2016-02-24,-0.086,339792.0,644678.105,2820.0,2820.0,0.0,0.003,0.0,339792.0,852300.0,-12709.895,987290.105,0.0,-0.013,19.895,0.987,1000000,0.984,1000000
2016-02-25,-0.316,340920.0,646370.105,-41040.0,-41040.0,0.0,-0.042,0.0,340920.0,811260.0,-53749.895,946250.105,0.0,-0.054,19.895,0.946,1000000,0.987,1000000
2016-02-26,-0.285,324504.0,621746.105,5340.0,5340.0,0.0,0.006,0.0,324504.0,816600.0,-48409.895,951590.105,0.0,-0.048,19.895,0.952,1000000,0.946,1000000
2016-02-29,-0.411,326640.0,624950.105,-30960.0,-30960.0,0.0,-0.033,0.0,326640.0,785640.0,-79369.895,920630.105,0.0,-0.079,19.895,0.921,1000000,0.952,1000000
2016-03-01,-0.283,314256.0,606374.105,27840.0,27840.0,0.0,0.03,0.0,314256.0,813480.0,-51529.895,948470.105,0.0,-0.052,19.895,0.948,1000000,0.921,1000000
2016-03-02,-0.087,325392.0,623078.105,36900.0,36900.0,0.0,0.039,0.0,325392.0,850380.0,-14629.895,985370.105,0.0,-0.015,19.895,0.985,1000000,0.948,1000000
2016-03-03,-0.079,340152.0,645218.105,1200.0,1200.0,0.0,0.001,0.0,340152.0,851580.0,-13429.895,986570.105,0.0,-0.013,19.895,0.987,1000000,0.985,1000000
2016-03-04,-0.033,340632.0,645938.105,7800.0,7800.0,0.0,0.008,0.0,340632.0,859380.0,-5629.895,994370.105,0.0,-0.006,19.895,0.994,1000000,0.987,1000000
2016-03-07,0.037,343752.0,650618.105,11940.0,11940.0,0.0,0.012,0.0,343752.0,871320.0,6310.105,1006310.105,0.0,0.006,19.895,1.006,1000000,0.994,1000000
2016-03-08,0.015,348528.0,657782.105,-3720.0,-3720.0,0.0,-0.004,0.0,348528.0,867600.0,2590.105,1002590.105,0.0,0.003,19.895,1.003,1000000,1.006,1000000
2016-03-09,-0.043,347040.0,655550.105,-10560.0,-10560.0,0.0,-0.011,0.0,347040.0,857040.0,-7969.895,992030.105,0.0,-0.008,19.895,0.992,1000000,1.003,1000000
2016-03-10,-0.054,342816.0,649214.105,-2160.0,-2160.0,0.0,-0.002,0.0,342816.0,854880.0,-10129.895,989870.105,0.0,-0.01,19.895,0.99,1000000,0.992,1000000
2016-03-11,-0.086,341952.0,647918.105,-6540.0,-6540.0,0.0,-0.007,0.0,341952.0,848340.0,-16669.895,983330.105,0.0,-0.017,19.895,0.983,1000000,0.99,1000000
2016-03-14,0.033,339336.0,643994.105,22920.0,22920.0,0.0,0.023,0.0,339336.0,871260.0,6250.105,1006250.105,0.0,0.006,19.895,1.006,1000000,0.983,1000000
2016-03-15,-0.01,348504.0,657746.105,-8280.0,-8280.0,0.0,-0.008,0.0,348504.0,862980.0,-2029.895,997970.105,0.0,-0.002,19.895,0.998,1000000,1.006,1000000
2016-03-16,0.011,345192.0,652778.105,4260.0,4260.0,0.0,0.004,0.0,345192.0,867240.0,2230.105,1002230.105,0.0,0.002,19.895,1.002,1000000,0.998,1000000
2016-03-17,0.132,346896.0,655334.105,23220.0,23220.0,0.0,0.023,0.0,346896.0,890460.0,25450.105,1025450.105,0.0,0.025,19.895,1.025,1000000,1.002,1000000
2016-03-18,0.273,356184.0,669266.105,25320.0,25320.0,0.0,0.025,0.0,356184.0,915780.0,50770.105,1050770.105,0.0,0.051,19.895,1.051,1000000,1.025,1000000
2016-03-21,0.411,366312.0,684458.105,25620.0,25620.0,0.0,0.024,0.0,366312.0,941400.0,76390.105,1076390.105,0.0,0.076,19.895,1.076,1000000,1.051,1000000
2016-03-22,0.386,376560.0,699830.105,-3240.0,-3240.0,0.0,-0.003,0.0,376560.0,938160.0,73150.105,1073150.105,0.0,0.073,19.895,1.073,1000000,1.076,1000000
2016-03-23,0.355,375264.0,697886.105,-4320.0,-4320.0,0.0,-0.004,0.0,375264.0,933840.0,68830.105,1068830.105,0.0,0.069,19.895,1.069,1000000,1.073,1000000
2016-03-24,0.278,373536.0,695294.105,-12960.0,-12960.0,0.0,-0.012,0.0,373536.0,920880.0,55870.105,1055870.105,0.0,0.056,19.895,1.056,1000000,1.069,1000000
2016-03-25,0.272,368352.0,687518.105,-420.0,-420.0,0.0,-0.0,0.0,368352.0,920460.0,55450.105,1055450.105,0.0,0.055,19.895,1.055,1000000,1.056,1000000
2016-03-28,0.235,368184.0,687266.105,-5100.0,-5100.0,0.0,-0.005,0.0,368184.0,915360.0,50350.105,1050350.105,0.0,0.05,19.895,1.05,1000000,1.055,1000000
2016-03-29,0.164,366144.0,684206.105,-13980.0,-13980.0,0.0,-0.013,0.0,366144.0,901380.0,36370.105,1036370.105,0.0,0.036,19.895,1.036,1000000,1.05,1000000
2016-03-30,0.28,360552.0,675818.105,24240.0,24240.0,0.0,0.023,0.0,360552.0,925620.0,60610.105,1060610.105,0.0,0.061,19.895,1.061,1000000,1.036,1000000
2016-03-31,0.286,370248.0,690362.105,1860.0,1860.0,0.0,0.002,0.0,370248.0,927480.0,62470.105,1062470.105,0.0,0.062,19.895,1.062,1000000,1.061,1000000
2016-04-01,0.28,370992.0,691478.105,-420.0,-420.0,0.0,-0.0,0.0,370992.0,927060.0,62050.105,1062050.105,0.0,0.062,19.895,1.062,1000000,1.062,1000000
2016-04-05,0.348,370824.0,691226.105,17100.0,17100.0,0.0,0.016,0.0,370824.0,944160.0,79150.105,1079150.105,0.0,0.079,19.895,1.079,1000000,1.062,1000000
2016-04-06,0.328,377664.0,701486.105,-3300.0,-3300.0,0.0,-0.003,0.0,377664.0,940860.0,75850.105,1075850.105,0.0,0.076,19.895,1.076,1000000,1.079,1000000
2016-04-07,-0.107,0.0,665494.03,-48279.0,-104938.675,-56619.0,-0.098,0.0,353696.4,-932520.0,-29088.57,970911.43,353696.4,-0.029,60.57,0.971,1000000,1.076,1000000
2016-04-08,-0.057,0.0,597903.43,13800.0,13800.0,0.0,0.014,0.0,373008.0,-918720.0,-15288.57,984711.43,373008.0,-0.015,60.57,0.985,1000000,0.971,1000000
2016-04-11,-0.129,0.0,617223.43,-21600.0,-21600.0,0.0,-0.022,0.0,367488.0,-940320.0,-36888.57,963111.43,367488.0,-0.037,60.57,0.963,1000000,0.985,1000000
2016-04-12,-0.103,0.0,586983.43,7560.0,7560.0,0.0,0.008,0.0,376128.0,-932760.0,-29328.57,970671.43,376128.0,-0.029,60.57,0.971,1000000,0.963,1000000
2016-04-13,-0.181,0.0,597567.43,-24420.0,-24420.0,0.0,-0.025,0.0,373104.0,-957180.0,-53748.57,946251.43,373104.0,-0.054,60.57,0.946,1000000,0.971,1000000
2016-04-14,-0.445,402192.0,495713.178,-49500.0,-97846.252,-48300.0,-0.103,0.0,402192.0,955980.0,-151594.822,848405.178,0.0,-0.152,106.822,0.848,1000000,0.946,1000000
2016-04-15,-0.442,382392.0,466013.178,-60.0,-60.0,0.0,-0.0,0.0,382392.0,955920.0,-151654.822,848345.178,0.0,-0.152,106.822,0.848,1000000,0.848,1000000
2016-04-18,-0.644,0.0,430178.947,-48075.0,-107711.231,-59595.0,-0.127,0.0,358530.0,-944400.0,-259366.053,740633.947,358530.0,-0.259,148.053,0.741,1000000,0.848,1000000
2016-04-19,-0.64,0.0,362873.947,480.0,480.0,0.0,0.001,0.0,377760.0,-943920.0,-258886.053,741113.947,377760.0,-0.259,148.053,0.741,1000000,0.741,1000000
2016-04-20,-0.593,0.0,363545.947,25500.0,25500.0,0.0,0.034,0.0,377568.0,-918420.0,-233386.053,766613.947,377568.0,-0.233,148.053,0.767,1000000,0.741,1000000
2016-04-21,-0.607,0.0,399245.947,-10020.0,-10020.0,0.0,-0.013,0.0,367368.0,-928440.0,-243406.053,756593.947,367368.0,-0.243,148.053,0.757,1000000,0.767,1000000
2016-04-22,-0.604,0.0,385217.947,-120.0,-120.0,0.0,-0.0,0.0,371376.0,-928560.0,-243526.053,756473.947,371376.0,-0.244,148.053,0.756,1000000,0.757,1000000
2016-04-25,-0.588,0.0,385049.947,3660.0,3660.0,0.0,0.005,0.0,371424.0,-924900.0,-239866.053,760133.947,371424.0,-0.24,148.053,0.76,1000000,0.756,1000000
2016-04-26,-0.587,0.0,390173.947,-1260.0,-1260.0,0.0,-0.002,0.0,369960.0,-926160.0,-241126.053,758873.947,369960.0,-0.241,148.053,0.759,1000000,0.76,1000000
2016-04-27,-0.583,0.0,388409.947,360.0,360.0,0.0,0.0,0.0,370464.0,-925800.0,-240766.053,759233.947,370464.0,-0.241,148.053,0.759,1000000,0.759,1000000
2016-04-28,-0.575,0.0,388913.947,2460.0,2460.0,0.0,0.003,0.0,370320.0,-923340.0,-238306.053,761693.947,370320.0,-0.238,148.053,0.762,1000000,0.759,1000000
2016-04-29,-0.579,0.0,392357.947,-3840.0,-3840.0,0.0,-0.005,0.0,369336.0,-927180.0,-242146.053,757853.947,369336.0,-0.242,148.053,0.758,1000000,0.762,1000000
2016-05-03,-0.595,0.0,386981.947,-16860.0,-16860.0,0.0,-0.022,0.0,370872.0,-944040.0,-259006.053,740993.947,370872.0,-0.259,148.053,0.741,1000000,0.758,1000000
2016-05-04,-0.591,0.0,363377.947,480.0,480.0,0.0,0.001,0.0,377616.0,-943560.0,-258526.053,741473.947,377616.0,-0.259,148.053,0.741,1000000,0.741,1000000
2016-05-05,-0.587,0.0,364049.947,540.0,540.0,0.0,0.001,0.0,377424.0,-943020.0,-257986.053,742013.947,377424.0,-0.258,148.053,0.742,1000000,0.741,1000000
2016-05-06,-0.549,0.0,364805.947,21180.0,21180.0,0.0,0.029,0.0,377208.0,-921840.0,-236806.053,763193.947,377208.0,-0.237,148.053,0.763,1000000,0.742,1000000
2016-05-09,-0.497,0.0,394457.947,24120.0,24120.0,0.0,0.032,0.0,368736.0,-897720.0,-212686.053,787313.947,368736.0,-0.213,148.053,0.787,1000000,0.763,1000000
2016-05-10,-0.498,0.0,428225.947,-1740.0,-1740.0,0.0,-0.002,0.0,359088.0,-899460.0,-214426.053,785573.947,359088.0,-0.214,148.053,0.786,1000000,0.787,1000000
2016-05-11,-0.504,0.0,425789.947,-4860.0,-4860.0,0.0,-0.006,0.0,359784.0,-904320.0,-219286.053,780713.947,359784.0,-0.219,148.053,0.781,1000000,0.786,1000000
2016-05-12,-0.508,0.0,418985.947,-3900.0,-3900.0,0.0,-0.005,0.0,361728.0,-908220.0,-223186.053,776813.947,361728.0,-0.223,148.053,0.777,1000000,0.781,1000000
2016-05-13,-0.503,0.0,413525.947,1260.0,1260.0,0.0,0.002,0.0,363288.0,-906960.0,-221926.053,778073.947,363288.0,-0.222,148.053,0.778,1000000,0.777,1000000
2016-05-16,-0.501,0.0,415289.947,-3480.0,-3480.0,0.0,-0.004,0.0,362784.0,-910440.0,-225406.053,774593.947,362784.0,-0.225,148.053,0.775,1000000,0.778,1000000
2016-05-17,-0.503,0.0,410417.947,-2460.0,-2460.0,0.0,-0.003,0.0,364176.0,-912900.0,-227866.053,772133.947,364176.0,-0.228,148.053,0.772,1000000,0.775,1000000
2016-05-18,-0.482,0.0,406973.947,10380.0,10380.0,0.0,0.013,0.0,365160.0,-902520.0,-217486.053,782513.947,365160.0,-0.217,148.053,0.783,1000000,0.772,1000000
2016-05-19,-0.486,0.0,421505.947,-3780.0,-3780.0,0.0,-0.005,0.0,361008.0,-906300.0,-221266.053,778733.947,361008.0,-0.221,148.053,0.779,1000000,0.783,1000000
2016-05-20,-0.492,0.0,416213.947,-4800.0,-4800.0,0.0,-0.006,0.0,362520.0,-911100.0,-226066.053,773933.947,362520.0,-0.226,148.053,0.774,1000000,0.779,1000000
