alpha,nan
annualized_returns,-0.559
benchmark,None
beta,nan
cash,339525.99
commission_multiplier,1
downside_risk,0.377
end_date,2016-06-01
frequency,1d
frozen_cash,0.0
future_starting_cash,1000000
information_ratio,-0.011
margin_multiplier,1
market_value,940740.0
matching_type,CURRENT_BAR_CLOSE
max_drawdown,0.366
pnl,-285438.01
portfolio_value,714561.99
run_id,9999
run_type,BACKTEST
sharpe,-1.408
slippage,0.05
sortino,-2.396
start_date,2016-01-04
starting_cash,1000000
stock_starting_cash,0
strategy_file,C:\Users\12\Documents\GitHub\vnpy\vn.trader_ws\futureBacktest\strategy\IF_macd.py
strategy_name,IF_macd
strategy_type,future
total_returns,-0.285
tracking_error,0.416
transaction_cost,192.01
volatility,0.413
