date,annualized_returns,cash,daily_pnl,daily_returns,frozen_cash,market_value,pnl,portfolio_value,total_returns,transaction_cost
2016-01-04,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-05,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-06,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-07,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-08,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-11,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-12,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-13,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-14,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-15,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-18,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-19,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-20,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-21,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-22,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-25,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-26,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-27,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-28,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-01-29,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-02-01,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-02-02,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
2016-02-03,-0.427,653984.105,-46249.895,-0.046,0.0,818760.0,-46249.895,953750.105,-0.046,19.895
2016-02-04,-0.308,626246.105,14520.0,0.015,0.0,833280.0,-31729.895,968270.105,-0.032,19.895
2016-02-05,-0.345,634958.105,-5760.0,-0.006,0.0,827520.0,-37489.895,962510.105,-0.037,19.895
2016-02-15,-0.315,631502.105,-6060.0,-0.006,0.0,821460.0,-43549.895,956450.105,-0.044,19.895
2016-02-16,-0.158,627866.105,23040.0,0.024,0.0,844500.0,-20509.895,979490.105,-0.021,19.895
2016-02-17,-0.125,641690.105,4200.0,0.004,0.0,848700.0,-16309.895,983690.105,-0.016,19.895
2016-02-18,-0.113,644210.105,1380.0,0.001,0.0,850080.0,-14929.895,985070.105,-0.015,19.895
2016-02-19,-0.123,645038.105,-1860.0,-0.002,0.0,848220.0,-16789.895,983210.105,-0.017,19.895
2016-02-22,-0.02,643922.105,14040.0,0.014,0.0,862260.0,-2749.895,997250.105,-0.003,19.895
2016-02-23,-0.106,652346.105,-12780.0,-0.013,0.0,849480.0,-15529.895,984470.105,-0.016,19.895
2016-02-24,-0.086,644678.105,2820.0,0.003,0.0,852300.0,-12709.895,987290.105,-0.013,19.895
2016-02-25,-0.316,646370.105,-41040.0,-0.042,0.0,811260.0,-53749.895,946250.105,-0.054,19.895
2016-02-26,-0.285,621746.105,5340.0,0.006,0.0,816600.0,-48409.895,951590.105,-0.048,19.895
2016-02-29,-0.411,624950.105,-30960.0,-0.033,0.0,785640.0,-79369.895,920630.105,-0.079,19.895
2016-03-01,-0.283,606374.105,27840.0,0.03,0.0,813480.0,-51529.895,948470.105,-0.052,19.895
2016-03-02,-0.087,623078.105,36900.0,0.039,0.0,850380.0,-14629.895,985370.105,-0.015,19.895
2016-03-03,-0.079,645218.105,1200.0,0.001,0.0,851580.0,-13429.895,986570.105,-0.013,19.895
2016-03-04,-0.033,645938.105,7800.0,0.008,0.0,859380.0,-5629.895,994370.105,-0.006,19.895
2016-03-07,0.037,650618.105,11940.0,0.012,0.0,871320.0,6310.105,1006310.105,0.006,19.895
2016-03-08,0.015,657782.105,-3720.0,-0.004,0.0,867600.0,2590.105,1002590.105,0.003,19.895
2016-03-09,-0.043,655550.105,-10560.0,-0.011,0.0,857040.0,-7969.895,992030.105,-0.008,19.895
2016-03-10,-0.054,649214.105,-2160.0,-0.002,0.0,854880.0,-10129.895,989870.105,-0.01,19.895
2016-03-11,-0.086,647918.105,-6540.0,-0.007,0.0,848340.0,-16669.895,983330.105,-0.017,19.895
2016-03-14,0.033,643994.105,22920.0,0.023,0.0,871260.0,6250.105,1006250.105,0.006,19.895
2016-03-15,-0.01,657746.105,-8280.0,-0.008,0.0,862980.0,-2029.895,997970.105,-0.002,19.895
2016-03-16,0.011,652778.105,4260.0,0.004,0.0,867240.0,2230.105,1002230.105,0.002,19.895
2016-03-17,0.132,655334.105,23220.0,0.023,0.0,890460.0,25450.105,1025450.105,0.025,19.895
2016-03-18,0.273,669266.105,25320.0,0.025,0.0,915780.0,50770.105,1050770.105,0.051,19.895
2016-03-21,0.411,684458.105,25620.0,0.024,0.0,941400.0,76390.105,1076390.105,0.076,19.895
2016-03-22,0.386,699830.105,-3240.0,-0.003,0.0,938160.0,73150.105,1073150.105,0.073,19.895
2016-03-23,0.355,697886.105,-4320.0,-0.004,0.0,933840.0,68830.105,1068830.105,0.069,19.895
2016-03-24,0.278,695294.105,-12960.0,-0.012,0.0,920880.0,55870.105,1055870.105,0.056,19.895
2016-03-25,0.272,687518.105,-420.0,-0.0,0.0,920460.0,55450.105,1055450.105,0.055,19.895
2016-03-28,0.235,687266.105,-5100.0,-0.005,0.0,915360.0,50350.105,1050350.105,0.05,19.895
2016-03-29,0.164,684206.105,-13980.0,-0.013,0.0,901380.0,36370.105,1036370.105,0.036,19.895
2016-03-30,0.28,675818.105,24240.0,0.023,0.0,925620.0,60610.105,1060610.105,0.061,19.895
2016-03-31,0.286,690362.105,1860.0,0.002,0.0,927480.0,62470.105,1062470.105,0.062,19.895
2016-04-01,0.28,691478.105,-420.0,-0.0,0.0,927060.0,62050.105,1062050.105,0.062,19.895
2016-04-05,0.348,691226.105,17100.0,0.016,0.0,944160.0,79150.105,1079150.105,0.079,19.895
2016-04-06,0.328,701486.105,-3300.0,-0.003,0.0,940860.0,75850.105,1075850.105,0.076,19.895
2016-04-07,-0.107,665494.03,-104938.675,-0.098,0.0,-932520.0,-29088.57,970911.43,-0.029,60.57
