date,annualized_returns,cash,daily_pnl,daily_returns,dividend_receivable,frozen_cash,market_value,pnl,portfolio_value,total_returns,transaction_cost,unit_net_value,units,yesterday_unit_net_value,yesterday_units
2016-06-01,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-02,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-03,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-06,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-07,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-08,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-13,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-14,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-15,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-16,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-17,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-20,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-21,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,1.0,100000,1.0,100000
2016-06-22,-0.577,-4581.698,-5059.698,-0.051,0.0,0.0,99522.0,-5059.698,94940.302,-0.051,83.598,0.949,100000,1.0,100000
2016-06-23,-0.616,-4581.698,-798.0,-0.008,0.0,0.0,98724.0,-5857.698,94142.302,-0.059,83.598,0.941,100000,0.949,100000
2016-06-24,-0.855,88064.338,-6077.964,-0.065,0.0,0.0,0.0,-11935.662,88064.338,-0.119,250.662,0.881,100000,0.941,100000
2016-06-27,-0.821,88064.338,0.0,0.0,0.0,0.0,0.0,-11935.662,88064.338,-0.119,250.662,0.881,100000,0.881,100000
2016-06-28,-0.809,88064.338,0.0,0.0,0.0,0.0,0.0,-11935.662,88064.338,-0.119,250.662,0.881,100000,0.881,100000
2016-06-29,-0.895,-4166.838,-4462.176,-0.051,0.0,0.0,87769.0,-16397.838,83602.162,-0.164,324.388,0.836,100000,0.881,100000
2016-06-30,-0.885,-4166.838,101.0,0.001,0.0,0.0,87870.0,-16296.838,83703.162,-0.163,324.388,0.837,100000,0.836,100000
2016-07-01,-0.875,-4166.838,101.0,0.001,0.0,0.0,87971.0,-16195.838,83804.162,-0.162,324.388,0.838,100000,0.837,100000
2016-07-04,-0.829,-4166.838,1010.0,0.012,0.0,0.0,88981.0,-15185.838,84814.162,-0.152,324.388,0.848,100000,0.838,100000
2016-07-05,-0.821,-4166.838,0.0,0.0,0.0,0.0,88981.0,-15185.838,84814.162,-0.152,324.388,0.848,100000,0.848,100000
2016-07-06,-0.816,-4166.838,-203.01,-0.002,0.0,0.0,88777.99,-15388.848,84611.152,-0.154,324.388,0.846,100000,0.848,100000
2016-07-07,-0.81,-4166.838,-99.99,-0.001,0.0,0.0,88678.0,-15488.838,84511.162,-0.155,324.388,0.845,100000,0.846,100000
2016-07-08,-0.81,-4166.838,-404.0,-0.005,0.0,0.0,88274.0,-15892.838,84107.162,-0.159,324.388,0.841,100000,0.845,100000
2016-07-11,-0.783,-4166.838,101.0,0.001,0.0,0.0,88375.0,-15791.838,84208.162,-0.158,324.388,0.842,100000,0.841,100000
2016-07-12,-0.743,-4166.838,1313.0,0.016,0.0,0.0,89688.0,-14478.838,85521.162,-0.145,324.388,0.855,100000,0.842,100000
2016-07-13,-0.704,-4166.838,1111.0,0.013,0.0,0.0,90799.0,-13367.838,86632.162,-0.134,324.388,0.866,100000,0.855,100000
2016-07-14,-0.71,-4166.838,-505.0,-0.006,0.0,0.0,90294.0,-13872.838,86127.162,-0.139,324.388,0.861,100000,0.866,100000
2016-07-15,-0.688,-4166.838,505.0,0.006,0.0,0.0,90799.0,-13367.838,86632.162,-0.134,324.388,0.866,100000,0.861,100000
2016-07-18,-0.649,-4166.838,503.99,0.006,0.0,0.0,91302.99,-12863.848,87136.152,-0.129,324.388,0.871,100000,0.866,100000
2016-07-19,-0.663,-4166.838,-705.99,-0.008,0.0,0.0,90597.0,-13569.838,86430.162,-0.136,324.388,0.864,100000,0.871,100000
2016-07-20,-0.658,-4166.838,-101.0,-0.001,0.0,0.0,90496.0,-13670.838,86329.162,-0.137,324.388,0.863,100000,0.864,100000
2016-07-21,-0.642,-4166.838,303.0,0.004,0.0,0.0,90799.0,-13367.838,86632.162,-0.134,324.388,0.866,100000,0.863,100000
2016-07-22,-0.649,-4166.838,-505.0,-0.006,0.0,0.0,90294.0,-13872.838,86127.162,-0.139,324.388,0.861,100000,0.866,100000
2016-07-25,-0.617,-4166.838,404.0,0.005,0.0,0.0,90698.0,-13468.838,86531.162,-0.135,324.388,0.865,100000,0.861,100000
2016-07-26,-0.57,-4166.838,1313.0,0.015,0.0,0.0,92011.0,-12155.838,87844.162,-0.122,324.388,0.878,100000,0.865,100000
2016-07-27,-0.595,-4166.838,-1010.0,-0.011,0.0,0.0,91001.0,-13165.838,86834.162,-0.132,324.388,0.868,100000,0.878,100000
2016-07-28,-0.567,-4166.838,707.0,0.008,0.0,0.0,91708.0,-12458.838,87541.162,-0.125,324.388,0.875,100000,0.868,100000
2016-07-29,-0.522,-4166.838,1212.0,0.014,0.0,0.0,92920.0,-11246.838,88753.162,-0.112,324.388,0.888,100000,0.875,100000
2016-08-01,-0.477,-4166.838,808.0,0.009,0.0,0.0,93728.0,-10438.838,89561.162,-0.104,324.388,0.896,100000,0.888,100000
2016-08-02,-0.482,-4166.838,-303.0,-0.003,0.0,0.0,93425.0,-10741.838,89258.162,-0.107,324.388,0.893,100000,0.896,100000
2016-08-03,-0.5,-4166.838,-707.0,-0.008,0.0,0.0,92718.0,-11448.838,88551.162,-0.114,324.388,0.886,100000,0.893,100000
2016-08-04,-0.553,-4166.838,-1919.0,-0.022,0.0,0.0,90799.0,-13367.838,86632.162,-0.134,324.388,0.866,100000,0.886,100000
2016-08-05,-0.657,82414.874,-4217.288,-0.049,0.0,0.0,0.0,-17585.126,82414.874,-0.176,480.516,0.824,100000,0.866,100000
2016-08-08,-0.641,82414.874,0.0,0.0,0.0,0.0,0.0,-17585.126,82414.874,-0.176,480.516,0.824,100000,0.824,100000
2016-08-09,-0.635,82414.874,0.0,0.0,0.0,0.0,0.0,-17585.126,82414.874,-0.176,480.516,0.824,100000,0.824,100000
2016-08-10,-0.63,82414.874,0.0,0.0,0.0,0.0,0.0,-17585.126,82414.874,-0.176,480.516,0.824,100000,0.824,100000
2016-08-11,-0.625,82414.874,0.0,0.0,0.0,0.0,0.0,-17585.126,82414.874,-0.176,480.516,0.824,100000,0.824,100000
2016-08-12,-0.706,-3438.754,-4153.628,-0.05,0.0,0.0,81700.0,-21738.754,78261.246,-0.217,549.144,0.783,100000,0.824,100000
2016-08-15,-0.661,-3438.754,1548.0,0.02,0.0,0.0,83248.0,-20190.754,79809.246,-0.202,549.144,0.798,100000,0.783,100000
2016-08-16,-0.684,-3438.754,-1376.0,-0.017,0.0,0.0,81872.0,-21566.754,78433.246,-0.216,549.144,0.784,100000,0.798,100000
2016-08-17,-0.674,-3438.754,258.0,0.003,0.0,0.0,82130.0,-21308.754,78691.246,-0.213,549.144,0.787,100000,0.784,100000
2016-08-18,-0.678,-3438.754,-430.0,-0.005,0.0,0.0,81700.0,-21738.754,78261.246,-0.217,549.144,0.783,100000,0.787,100000
2016-08-19,-0.672,-3438.754,86.0,0.001,0.0,0.0,81786.0,-21652.754,78347.246,-0.217,549.144,0.783,100000,0.783,100000
2016-08-22,-0.676,-3438.754,-946.0,-0.012,0.0,0.0,80840.0,-22598.754,77401.246,-0.226,549.144,0.774,100000,0.783,100000
2016-08-23,-0.671,-3438.754,0.0,0.0,0.0,0.0,80840.0,-22598.754,77401.246,-0.226,549.144,0.774,100000,0.774,100000
2016-08-24,-0.734,73465.669,-3935.578,-0.051,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.774,100000
2016-08-25,-0.73,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-08-26,-0.726,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-08-29,-0.714,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-08-30,-0.71,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-08-31,-0.706,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-01,-0.702,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-02,-0.698,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-05,-0.687,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-06,-0.683,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-07,-0.679,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-08,-0.676,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-09,-0.672,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-12,-0.661,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-13,-0.658,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-14,-0.654,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-19,-0.637,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-20,-0.634,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-21,-0.631,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-22,-0.627,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-23,-0.624,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-26,-0.615,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-27,-0.612,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-28,-0.609,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-29,-0.606,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-09-30,-0.602,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-10-10,-0.574,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-10-11,-0.571,73465.669,0.0,0.0,0.0,0.0,0.0,-26534.331,73465.669,-0.265,687.822,0.735,100000,0.735,100000
2016-10-12,-0.625,-3287.685,-3713.354,-0.051,0.0,0.0,73040.0,-30247.685,69752.315,-0.302,749.175,0.698,100000,0.735,100000
2016-10-13,-0.629,-3287.685,-480.0,-0.007,0.0,0.0,72560.0,-30727.685,69272.315,-0.307,749.175,0.693,100000,0.698,100000
2016-10-14,-0.624,-3287.685,160.0,0.002,0.0,0.0,72720.0,-30567.685,69432.315,-0.306,749.175,0.694,100000,0.693,100000
2016-10-17,-0.621,-3287.685,-320.0,-0.005,0.0,0.0,72400.0,-30887.685,69112.315,-0.309,749.175,0.691,100000,0.694,100000
2016-10-18,-0.614,-3287.685,320.0,0.005,0.0,0.0,72720.0,-30567.685,69432.315,-0.306,749.175,0.694,100000,0.691,100000
2016-10-19,-0.612,-3287.685,-80.0,-0.001,0.0,0.0,72640.0,-30647.685,69352.315,-0.306,749.175,0.694,100000,0.694,100000
2016-10-20,-0.611,-3287.685,-80.0,-0.001,0.0,0.0,72560.0,-30727.685,69272.315,-0.307,749.175,0.693,100000,0.694,100000
2016-10-21,-0.601,-3287.685,480.0,0.007,0.0,0.0,73040.0,-30247.685,69752.315,-0.302,749.175,0.698,100000,0.693,100000
2016-10-24,-0.581,-3287.685,880.0,0.013,0.0,0.0,73920.0,-29367.685,70632.315,-0.294,749.175,0.706,100000,0.698,100000
2016-10-25,-0.582,-3287.685,-240.0,-0.003,0.0,0.0,73680.0,-29607.685,70392.315,-0.296,749.175,0.704,100000,0.706,100000
